ID_IEK,Цена,Наименование,Марка,Код изделия,Завод-изготовитель,Единица измерения,Масса_Текст,Высота,Ширина,Глубина,Примечание,Источник_данных,IP,Класс,"~Un,B","Iн,A","Iр,A","tоткл,с"
#101020302022&#101020302023&#101020302024&#101020302025&#101020302026&#101020302027&#101020302028&#101020302029&#101020302030&#101020302031&#101020302032&#101020302033,,Автоматический выключатель ВА47-100 3P 10кА х-ка D IEK,ВА47-100 3P-D,MVA40-3-006-D&MVA40-3-010-D&MVA40-3-016-D&MVA40-3-020-D&MVA40-3-025-D&MVA40-3-032-D&MVA40-3-035-D&MVA40-3-040-D&MVA40-3-050-D&MVA40-3-063-D&MVA40-3-080-D&MVA40-3-100-D,IEK,шт,0,84,53,71,,https://www.iek.ru/products/catalog/?page=detail&article=MVA40-3-006-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-3-010-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-3-016-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-3-020-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-3-025-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-3-032-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-3-035-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-3-040-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-3-050-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-3-063-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-3-080-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-3-100-D&utm_source=price,20,Автомат,400_3P,100,6&10&16&20&25&32&35&40&50&63&80&100,"0,1"
#101020302034&#101020302035&#101020302036&#101020302037&#101020302038&#101020302039&#101020302040&#101020302041&#101020302042&#101020302043,,Автоматический выключатель ВА47-100 4P 10кА х-ка D IEK,ВА47-100 4P-D,MVA40-4-006-D&MVA40-4-016-D&MVA40-4-020-D&MVA40-4-025-D&MVA40-4-032-D&MVA40-4-040-D&MVA40-4-050-D&MVA40-4-063-D&MVA40-4-080-D&MVA40-4-100-D,IEK,шт,0,84,71,71,,https://www.iek.ru/products/catalog/?page=detail&article=MVA40-4-006-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-4-020-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-4-020-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-4-025-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-4-032-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-4-040-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-4-050-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-4-063-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-4-080-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA40-4-100-D&utm_source=price,20,Автомат,400_4P,100,6&16&20&25&32&40&50&63&80&100,"0,1"
#101020303001&#101020303002&#101020303003&#101020303004,,Автоматический выключатель ВА47-150 1Р 15кА х-ка C IEK,ВА47-150 1Р-C,MVA50-1-063-C&MVA50-1-080-C&MVA50-1-100-C&MVA50-1-125-C,IEK,шт,0,84,18,71,,https://www.iek.ru/products/catalog/?page=detail&article=MVA50-1-063-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-1-080-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-1-100-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-1-125-C&utm_source=price,20,Автомат,230/400_1P,125,63&80&100&125,"0,1"
#101020401001&#101020401002&#101020401003&#101020401004,,Автоматический выключатель ВА47-150 2Р 15кА х-ка C IEK,ВА47-150 2Р-C,MVA50-2-063-C&MVA50-2-080-C&MVA50-2-100-C&MVA50-2-125-C,IEK,шт,0,84,36,71,,https://www.iek.ru/products/catalog/?page=detail&article=MVA50-2-063-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-2-080-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-2-100-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-2-125-C&utm_source=price,20,Автомат,400_2P,125,63&80&100&125,"0,1"
#101020401005&#101020401006&#101020401007&#101020401008,,Автоматический выключатель ВА47-150 3Р 15кА х-ка C IEK,ВА47-150 3Р-C,MVA50-3-063-C&MVA50-3-080-C&MVA50-3-100-C&MVA50-3-125-C,IEK,шт,0,84,53,71,,https://www.iek.ru/products/catalog/?page=detail&article=MVA50-3-063-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-3-080-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-3-100-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-3-125-C&utm_source=price,20,Автомат,400_3P,125,63&80&100&125,"0,1"
#101020401009&#101020401010&#101020401011&#101020401012,,Автоматический выключатель ВА47-150 4Р 15кА х-ка C IEK,ВА47-150 4Р-C,MVA50-4-063-C&MVA50-4-080-C&MVA50-4-100-C&MVA50-4-125-C,IEK,шт,0,84,71,71,,https://www.iek.ru/products/catalog/?page=detail&article=MVA50-4-063-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-4-080-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-4-100-C&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-4-125-C&utm_source=price,20,Автомат,400_4P,125,63&80&100&125,"0,1"
#101020402001&#101020402002&#101020402003&#101020402004,,Автоматический выключатель ВА47-150 1Р 15кА х-ка D IEK,ВА47-150 1Р-D,MVA50-1-063-D&MVA50-1-080-D&MVA50-1-100-D&MVA50-1-125-D,IEK,шт,0,84,18,71,,https://www.iek.ru/products/catalog/?page=detail&article=MVA50-1-063-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-1-080-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-1-100-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-1-125-D&utm_source=price,20,Автомат,230/400_1P,125,63&80&100&125,"0,1"
#101020402005&#101020402006&#101020402007&#101020402008,,Автоматический выключатель ВА47-150 2Р 15кА х-ка D IEK,ВА47-150 2Р-D,MVA50-2-063-D&MVA50-2-080-D&MVA50-2-100-D&MVA50-2-125-D,IEK,шт,0,84,36,71,,https://www.iek.ru/products/catalog/?page=detail&article=MVA50-2-063-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-2-063-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-2-100-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-2-125-D&utm_source=price,20,Автомат,400_2P,125,63&80&100&125,"0,1"
#101020402009&#101020402010&#101020402011&#101020402012,,Автоматический выключатель ВА47-150 3Р 15кА х-ка D IEK,ВА47-150 3Р-D,MVA50-3-063-D&MVA50-3-080-D&MVA50-3-100-D&MVA50-3-125-D,IEK,шт,0,84,53,71,,https://www.iek.ru/products/catalog/?page=detail&article=MVA50-3-063-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-3-080-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-3-100-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-3-125-D&utm_source=price,20,Автомат,400_3P,125,63&80&100&125,"0,1"
#101020402013&#101020402014&#101020402015&#101020402016,,Автоматический выключатель ВА47-150 4Р 15кА х-ка D IEK,ВА47-150 4Р-D,MVA50-4-063-D&MVA50-4-080-D&MVA50-4-100-D&MVA50-4-125-D,IEK,шт,0,84,71,71,,https://www.iek.ru/products/catalog/?page=detail&article=MVA50-4-063-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-4-080-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-4-100-D&utm_source=price&https://www.iek.ru/products/catalog/?page=detail&article=MVA50-4-125-D&utm_source=price,20,Автомат,400_4P,125,63&80&100&125,"0,1"
